"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","dataset_threshold","dropout","epochs","learning_rate","max_len","max_length","test_train_split","weight_decay","accuracy","balanced_accuracy","best_epoch","best_val_loss","epoch","f1_macro","f1_micro","loss","val_balanced_accuracy","val_loss"
"smart-sweep-942","21t3zxza","finished","-","priceluke","","2022-04-20T19:51:20.000Z","9544","ne3vuqk1","32","0.01473593137331004","0.3","17","0.00005","100","33","0.95","","0.7026790710688304","0.8956117033958435","2","0.9160916805267334","16","0.6993738116125945","0.7026790710688304","0.32401230931282043","0.7026790976524353","1.2316566705703735"
"efficient-sweep-176","v5zv5swj","finished","-","priceluke","","2022-04-19T21:16:48.000Z","9539","ne3vuqk1","64","0.004222541940421391","0","19","0.0003","80","33","0.8","","0.6030937441759334","0.8834493160247803","1","1.4578346014022827","18","0.5940851507798717","0.6030937441759334","0.3371196687221527","0.6030937433242798","2.046261787414551"
"hopeful-sweep-876","g2zp35fp","finished","-","priceluke","","2022-04-20T17:37:21.000Z","9521","ne3vuqk1","32","0.01669953708043746","0.5","15","0.00005","80","33","0.85","","0.7672943349259245","0.9226393699645996","2","0.7231804132461548","14","0.7651076248069276","0.7672943349259245","0.3072802424430847","0.7672943472862244","1.0247111320495603"
"northern-sweep-875","h317kb9f","finished","-","priceluke","","2022-04-20T17:33:22.000Z","9519","ne3vuqk1","64","0.018186050971239567","0.4","14","0.00005","50","33","0.95","","0.7111070857108354","0.9621342420578004","2","0.8258550763130188","13","0.7097246146265531","0.7111070857108353","0.15792275965213776","0.711107075214386","1.3158820867538452"
"balmy-sweep-484","mhaqqxzi","finished","-","priceluke","","2022-04-20T04:13:26.000Z","9516","ne3vuqk1","16","0.014354176786533744","0.1","12","0.00005","70","33","0.8","","0.7299912779831375","0.8649277091026306","1","0.7507238388061523","11","0.7271501965404288","0.7299912779831375","0.3888285756111145","0.7299912571907043","0.935717225074768"
"fine-sweep-632","jjgiduzj","finished","-","priceluke","","2022-04-20T07:21:22.000Z","9497","ne3vuqk1","64","0.015792274395018322","0.1","12","0.00005","90","33","0.75","","0.765982618191746","0.9317406415939332","1","0.6744648218154907","11","0.7639109180763365","0.765982618191746","0.2561834752559662","0.7659826278686523","0.9257740378379822"
"lemon-sweep-426","f83u4wrd","finished","-","priceluke","","2022-04-20T03:02:52.000Z","9493","ne3vuqk1","64","0.022417925581168924","0.2","14","0.00005","90","33","0.95","","0.7190773782568004","0.9598393440246582","3","0.8503323197364807","13","0.7191903494828291","0.7190773782568004","0.14956985414028168","0.7190773487091064","1.2941861152648926"
"treasured-sweep-371","v5zv5swj","finished","-","priceluke","","2022-04-20T01:34:41.000Z","9474","ne3vuqk1","32","0.011653004744848976","0.4","13","0.0001","80","33","0.8","","0.7014518650882288","0.867047905921936","1","0.8993191123008728","12","0.6944313545714828","0.7014518650882288","0.4190734326839447","0.70145183801651","1.3598729372024536"
"confused-sweep-436","mgvzbhmn","finished","-","priceluke","","2022-04-20T03:15:21.000Z","9430","ne3vuqk1","32","0.02086769931525077","0.2","13","0.0001","60","33","0.9","","0.7305927342256214","0.9598393440246582","1","0.7751040458679199","12","0.7295073530467611","0.7305927342256214","0.14512576162815094","0.7305927276611328","1.4414114952087402"
"trim-sweep-549","6go7zrs4","finished","-","priceluke","","2022-04-20T05:42:24.000Z","9429","ne3vuqk1","128","0.01643252850838357","0.5","17","0.00005","50","33","0.95","","0.7433990731759887","0.9508532285690308","5","0.7942014336585999","16","0.7415246724084305","0.7433990731759889","0.2231353223323822","0.7433990836143494","1.136804223060608"
"classic-sweep-126","mpxi5l45","finished","-","priceluke","","2022-04-19T20:22:59.000Z","9409","ne3vuqk1","16","0.007841600435790793","0.2","8","0.00005","80","33","0.75","","0.7504964695498676","0.827375054359436","2","0.8184351921081543","7","0.7489677707882215","0.7504964695498676","0.5533536672592163","0.7504964470863342","0.8918237686157227"
"polished-sweep-61","cqcycmon","finished","-","priceluke","","2022-04-19T20:22:46.000Z","9381","ne3vuqk1","32","0.0024461638441396084","0.1","20","0.0003","40","33","0.7","","0.5391534391534392","0.8757201433181763","3","1.7258477210998535","19","0.5383141470747189","0.5391534391534392","0.4430590867996216","0.5391534566879272","2.541426658630371"
